id,rg,cpf,nome,apartamento,telefone,mensalidadesAtrasadas,cnpjCondominio
14,562804717,659.134.820-42,Lara Novaes,"THE ROCHESTER RESIDENCES, 14",0500-123-4744,10,84.501.392/0001-62
15,170642859,327.481.056-80,Murilo Ferreira,"THE ROCHESTER RESIDENCES, 15",+55 31 9845 6941,5,84.501.392/0001-62
1,421387609,492.365.870-38,Enzo Nogueira,"THE RESIDENCES AT W SINGAPORE SENTOSA COVE, 1",0300 349 5933,3,62.180.439/0001-09
2,530148766,462.085.937-00,Maria Sophia Gonçalves,"THE RESIDENCES AT W SINGAPORE SENTOSA COVE, 2",+55 (084) 6501 5795,9,62.180.439/0001-09
3,620487136,928.051.634-51,Marcela Vieira,"THE RESIDENCES AT W SINGAPORE SENTOSA COVE, 3",61 2713-1733,9,62.180.439/0001-09
4,863274055,705.164.829-20,Heitor Vieira,"THE RESIDENCES AT W SINGAPORE SENTOSA COVE, 4",41 5766 0124,2,62.180.439/0001-09
5,306871543,206.943.178-96,Alexandre Silveira,"THE RESIDENCES AT W SINGAPORE SENTOSA COVE, 5",0500 468 5208,6,62.180.439/0001-09
6,507481628,130.425.897-14,Lucas Gabriel Costela,"THE RESIDENCES AT W SINGAPORE SENTOSA COVE, 6",+55 (081) 5220-9920,3,62.180.439/0001-09
7,073461520,034.261.785-08,Heloísa Souza,"THE RESIDENCES AT W SINGAPORE SENTOSA COVE, 7",0300-784-2164,10,62.180.439/0001-09
8,346501829,719.206.584-67,Alice Rodrigues,"THE RESIDENCES AT W SINGAPORE SENTOSA COVE, 8",+55 (061) 0498-7290,6,62.180.439/0001-09
9,820365178,240.539.716-16,Thiago Carvalho,"THE RESIDENCES AT W SINGAPORE SENTOSA COVE, 9",(081) 2765 4369,4,62.180.439/0001-09
10,274186305,197.680.253-95,Ana Luiza Costela,"THE RESIDENCES AT W SINGAPORE SENTOSA COVE, 10",+55 (081) 8075-7145,5,62.180.439/0001-09
11,531607422,071.689.543-93,Davi Lucca Gomes,"THE RESIDENCES AT W SINGAPORE SENTOSA COVE, 11",11 8383 9091,5,62.180.439/0001-09
12,257618302,071.624.539-61,Raquel Cavalcanti,"THE RESIDENCES AT W SINGAPORE SENTOSA COVE, 12",+55 41 0801-4205,10,62.180.439/0001-09
13,175208633,465.972.180-94,Srta. Maria Luiza Lopes,"THE RESIDENCES AT W SINGAPORE SENTOSA COVE, 13",(071) 9801 1424,2,62.180.439/0001-09
14,875416020,462.579.810-85,Alexia Ramos,"THE RESIDENCES AT W SINGAPORE SENTOSA COVE, 14",(071) 9720 7421,4,62.180.439/0001-09
15,785124068,710.486.539-00,Davi Lucas da Rosa,"THE RESIDENCES AT W SINGAPORE SENTOSA COVE, 15",(081) 7378-5827,1,62.180.439/0001-09
1,371486257,685.409.137-39,Rafael Caldeira,"HORIZON RESIDENCES, 1",+55 (061) 3275 2376,4,47.380.562/0001-71
2,715236088,893.160.257-02,Gustavo Henrique Teixeira,"HORIZON RESIDENCES, 2",(071) 6350 7412,2,47.380.562/0001-71
3,215068373,957.306.214-34,Mariane Jesus,"HORIZON RESIDENCES, 3",84 5149-6763,2,47.380.562/0001-71
4,438215072,035.126.748-44,Beatriz Barbosa,"HORIZON RESIDENCES, 4",0800 907 7744,10,47.380.562/0001-71
5,018745635,107.234.869-13,Breno Souza,"HORIZON RESIDENCES, 5",+55 51 3160 1969,1,47.380.562/0001-71
6,068247138,719.840.536-39,Pedro Henrique Lima,"HORIZON RESIDENCES, 6",+55 (041) 8848 3477,9,47.380.562/0001-71
7,475238163,620.938.417-03,Mariana Costa,"HORIZON RESIDENCES, 7",+55 (051) 5472-6813,3,47.380.562/0001-71
8,742165309,097.835.162-21,Thiago Novaes,"HORIZON RESIDENCES, 8",0900 136 9035,5,47.380.562/0001-71
9,860724359,192.768.543-55,Camila Azevedo,"HORIZON RESIDENCES, 9",21 9770-4883,3,47.380.562/0001-71
10,170853263,739.128.460-22,Melissa Pires,"HORIZON RESIDENCES, 10",(084) 9765 6588,6,47.380.562/0001-71
11,187420634,649.302.187-13,Bruna da Rosa,"HORIZON RESIDENCES, 11",21 8653 7202,3,47.380.562/0001-71
12,823651472,849.162.035-42,Srta. Sarah Silveira,"HORIZON RESIDENCES, 12",0300 827 6078,5,47.380.562/0001-71
13,816537240,487.120.539-88,Mariane Melo,"HORIZON RESIDENCES, 13",(081) 3026 1170,7,47.380.562/0001-71
14,072615849,584.796.031-00,Luiz Gustavo Porto,"HORIZON RESIDENCES, 14",+55 (031) 1401 1167,5,47.380.562/0001-71
15,734086155,139.478.502-04,Laís Porto,"HORIZON RESIDENCES, 15",+55 (031) 3685-1653,8,47.380.562/0001-71
1,304276819,953.816.270-68,Stella Cardoso,"STIRLING RESIDENCES, 1",+55 31 7851 1682,10,34.719.258/0001-64
2,270416584,586.234.907-38,Beatriz Pires,"STIRLING RESIDENCES, 2",71 3156 6078,3,34.719.258/0001-64
3,510234781,279.046.135-06,Benjamin Costa,"STIRLING RESIDENCES, 3",71 1741-5858,8,34.719.258/0001-64
4,206187531,520.634.798-10,Esther Alves,"STIRLING RESIDENCES, 4",+55 (051) 7972 9361,5,34.719.258/0001-64
5,604835127,573.498.216-46,Brenda Moraes,"STIRLING RESIDENCES, 5",(081) 2018-3277,6,34.719.258/0001-64
6,836041574,621.435.807-62,Sr. Luiz Felipe Araújo,"STIRLING RESIDENCES, 6",(021) 9224-5699,1,34.719.258/0001-64
7,734580162,463.907.158-20,Samuel Santos,"STIRLING RESIDENCES, 7",+55 (071) 3728 2544,7,34.719.258/0001-64
8,713468208,390.245.876-38,Luiz Otávio Barros,"STIRLING RESIDENCES, 8",+55 (061) 4769-8905,6,34.719.258/0001-64
9,052164834,954.810.632-98,Pietro Rodrigues,"STIRLING RESIDENCES, 9",0900-747-1189,2,34.719.258/0001-64
10,034756127,123.604.759-16,André Ribeiro,"STIRLING RESIDENCES, 10",+55 41 3394-4480,10,34.719.258/0001-64
11,420768531,176.809.542-67,Alexandre Monteiro,"STIRLING RESIDENCES, 11",+55 21 1358 3520,5,34.719.258/0001-64
12,025148370,549.687.023-29,Gustavo Henrique da Conceição,"STIRLING RESIDENCES, 12",71 6441 8705,8,34.719.258/0001-64
13,453102761,476.812.903-03,Dra. Ana Luiza da Luz,"STIRLING RESIDENCES, 13",0900 303 4196,9,34.719.258/0001-64
14,016785344,198.723.645-91,Sophia Silva,"STIRLING RESIDENCES, 14",+55 (041) 5996 6714,4,34.719.258/0001-64
15,065374186,830.415.729-23,Larissa Gonçalves,"STIRLING RESIDENCES, 15",41 4547 8426,6,34.719.258/0001-64
1,704518235,412.907.385-05,Heitor Freitas,"WESTCOVE CONDOMINIUM, 1",0800 443 9581,5,61.539.407/0001-86
2,762580318,583.749.610-66,Juliana Cunha,"WESTCOVE CONDOMINIUM, 2",+55 (011) 7691 0728,8,61.539.407/0001-86
3,820675143,056.423.891-06,Dra. Luana Jesus,"WESTCOVE CONDOMINIUM, 3",+55 21 9282 5599,7,61.539.407/0001-86
4,510764289,307.564.192-80,Rebeca Lima,"WESTCOVE CONDOMINIUM, 4",84 3694 0773,5,61.539.407/0001-86
5,643052781,018.567.342-26,Dra. Nicole Souza,"WESTCOVE CONDOMINIUM, 5",+55 (011) 1260-8869,10,61.539.407/0001-86
6,354620812,285.964.730-92,Dra. Emanuelly da Mota,"WESTCOVE CONDOMINIUM, 6",71 0676-6371,3,61.539.407/0001-86
7,308741262,189.072.563-30,Ana Luiza Barros,"WESTCOVE CONDOMINIUM, 7",41 1382-3194,8,61.539.407/0001-86
8,421630784,190.546.328-60,Ana Júlia Fernandes,"WESTCOVE CONDOMINIUM, 8",0300-958-7409,9,61.539.407/0001-86
9,184573026,601.734.529-06,Srta. Alice Barbosa,"WESTCOVE CONDOMINIUM, 9",(081) 1935 2530,1,61.539.407/0001-86
10,742805311,126.450.937-52,Marcela Nunes,"WESTCOVE CONDOMINIUM, 10",+55 71 2632 1515,9,61.539.407/0001-86
11,754628310,189.523.760-21,Calebe Martins,"WESTCOVE CONDOMINIUM, 11",41 6980-9745,9,61.539.407/0001-86
12,641805275,705.948.312-88,Srta. Manuela da Mata,"WESTCOVE CONDOMINIUM, 12",+55 (011) 2784-7149,5,61.539.407/0001-86
13,150826734,369.105.782-95,Henrique Cardoso,"WESTCOVE CONDOMINIUM, 13",0800 662 3824,6,61.539.407/0001-86
14,803562470,670.431.295-16,João Felipe Carvalho,"WESTCOVE CONDOMINIUM, 14",(031) 7463 1912,3,61.539.407/0001-86
15,870651237,146.027.389-31,Leonardo da Rocha,"WESTCOVE CONDOMINIUM, 15",21 6914 9999,6,61.539.407/0001-86
1,786154238,742.538.190-79,Davi Lucca Jesus,"WEST BAY CONDOMINIUM, 1",0500-469-0253,1,56.427.391/0001-80
2,013652473,617.290.348-96,Sra. Maria Sophia Monteiro,"WEST BAY CONDOMINIUM, 2",+55 (084) 5543-0195,5,56.427.391/0001-80
3,584763013,375.182.064-71,Mariana Castro,"WEST BAY CONDOMINIUM, 3",81 4905-7745,10,56.427.391/0001-80
4,567134027,067.983.254-83,Nina Cardoso,"WEST BAY CONDOMINIUM, 4",+55 61 3891 4243,4,56.427.391/0001-80
5,670153849,638.219.057-86,André Castro,"WEST BAY CONDOMINIUM, 5",+55 (021) 4157 9410,9,56.427.391/0001-80
6,38024715X,548.702.936-92,Laura Costa,"WEST BAY CONDOMINIUM, 6",(071) 8901-8757,7,56.427.391/0001-80
7,860574313,783.196.420-78,Julia Moraes,"WEST BAY CONDOMINIUM, 7",(031) 4714 0807,2,56.427.391/0001-80
8,243051864,902.348.576-92,Juliana Barros,"WEST BAY CONDOMINIUM, 8",0500-182-8780,3,56.427.391/0001-80
9,176583026,367.491.820-03,João Miguel Souza,"WEST BAY CONDOMINIUM, 9",84 4522 7357,5,56.427.391/0001-80
10,056132785,879.501.624-49,Gabrielly Duarte,"WEST BAY CONDOMINIUM, 10",(051) 8249 1535,9,56.427.391/0001-80
11,720418355,098.167.435-66,Maysa Sales,"WEST BAY CONDOMINIUM, 11",81 7516 1848,10,56.427.391/0001-80
12,318476058,574.613.892-46,Sra. Milena Cardoso,"WEST BAY CONDOMINIUM, 12",+55 41 0044-6841,8,56.427.391/0001-80
13,417508268,549.631.078-48,Pietro Peixoto,"WEST BAY CONDOMINIUM, 13",(021) 1434 4919,9,56.427.391/0001-80
14,652480731,938.245.706-29,Gabriel Ribeiro,"WEST BAY CONDOMINIUM, 14",(031) 5418 2637,2,56.427.391/0001-80
15,213568706,824.167.053-26,Carolina Peixoto,"WEST BAY CONDOMINIUM, 15",+55 11 7171 4913,10,56.427.391/0001-80
1,413862756,896.304.215-42,Davi Luiz Pinto,"MARINA ONE RESIDENCES, 1",61 4100 6014,9,59.086.413/0001-83
2,627534016,451.709.326-34,Kaique Aragão,"MARINA ONE RESIDENCES, 2",71 9076-7873,5,59.086.413/0001-83
3,265130840,179.308.265-03,Sra. Kamilly Nascimento,"MARINA ONE RESIDENCES, 3",+55 81 5362-2773,10,59.086.413/0001-83
4,647508230,439.180.625-89,Noah Dias,"MARINA ONE RESIDENCES, 4",21 3099-4849,3,59.086.413/0001-83
5,546281734,612.095.837-12,Maitê Melo,"MARINA ONE RESIDENCES, 5",+55 (011) 1821-8595,4,59.086.413/0001-83
6,241065835,384.059.762-56,Daniela Moreira,"MARINA ONE RESIDENCES, 6",31 9104 9209,4,59.086.413/0001-83
7,741250366,327.194.865-82,Sr. Paulo Gomes,"MARINA ONE RESIDENCES, 7",81 3301 3901,7,59.086.413/0001-83
8,851463022,984.253.607-65,Bruna Carvalho,"MARINA ONE RESIDENCES, 8",+55 (061) 4788 2978,9,59.086.413/0001-83
9,014653278,465.871.039-01,Ana Silva,"MARINA ONE RESIDENCES, 9",+55 41 6351-4866,8,59.086.413/0001-83
10,207654189,359.014.627-34,Thomas Nascimento,"MARINA ONE RESIDENCES, 10",+55 11 4087 5390,7,59.086.413/0001-83
11,871065435,675.218.093-86,Bianca da Mata,"MARINA ONE RESIDENCES, 11",+55 84 4302 8076,10,59.086.413/0001-83
12,758423603,210.837.596-12,Alexandre Cardoso,"MARINA ONE RESIDENCES, 12",11 3211 8056,1,59.086.413/0001-83
13,502781348,209.143.687-96,Emanuelly da Luz,"MARINA ONE RESIDENCES, 13",+55 (061) 1631 5791,10,59.086.413/0001-83
14,823674514,842.917.603-96,Joana Rocha,"MARINA ONE RESIDENCES, 14",+55 51 7397 4220,1,59.086.413/0001-83
15,418026737,064.281.573-90,Levi Cunha,"MARINA ONE RESIDENCES, 15",+55 51 1796 4299,9,59.086.413/0001-83
1,718420536,308.156.479-48,Sabrina da Rosa,"SPOTTISWOODE RESIDENCES, 1",+55 (084) 4689 0213,10,79.245.138/0001-00
2,213058479,126.934.587-73,Pedro Lucas Moraes,"SPOTTISWOODE RESIDENCES, 2",(084) 7629 4699,10,79.245.138/0001-00
3,204518738,029.315.674-34,Natália Costa,"SPOTTISWOODE RESIDENCES, 3",+55 (021) 5268 3155,10,79.245.138/0001-00
4,765813403,519.246.380-70,Nicolas Souza,"SPOTTISWOODE RESIDENCES, 4",(041) 6140 5534,3,79.245.138/0001-00
5,823470568,502.438.976-00,Thomas da Conceição,"SPOTTISWOODE RESIDENCES, 5",+55 (061) 1834-1288,6,79.245.138/0001-00
6,386024753,162.953.748-91,Yasmin da Conceição,"SPOTTISWOODE RESIDENCES, 6",84 3878-7767,3,79.245.138/0001-00
7,681402751,789.120.435-79,Isabelly Azevedo,"SPOTTISWOODE RESIDENCES, 7",21 0435 9240,3,79.245.138/0001-00
8,624307189,150.968.427-11,Clara Araújo,"SPOTTISWOODE RESIDENCES, 8",+55 (071) 6647-1923,1,79.245.138/0001-00
9,012734858,835.702.146-80,Dr. Yago Caldeira,"SPOTTISWOODE RESIDENCES, 9",+55 (051) 1364-2133,8,79.245.138/0001-00
10,764318500,364.812.790-03,Luna Santos,"SPOTTISWOODE RESIDENCES, 10",21 2871-5056,7,79.245.138/0001-00
11,468527308,705.643.182-80,Melissa Oliveira,"SPOTTISWOODE RESIDENCES, 11",+55 (084) 9064-0309,4,79.245.138/0001-00
12,317825604,428.170.539-23,Milena Novaes,"SPOTTISWOODE RESIDENCES, 12",21 7772 4692,9,79.245.138/0001-00
13,357140825,281.049.675-76,Dr. Lucas Costela,"SPOTTISWOODE RESIDENCES, 13",+55 (081) 9881-2054,2,79.245.138/0001-00
14,265380145,103.589.426-24,Sabrina Barros,"SPOTTISWOODE RESIDENCES, 14",81 0154-7960,6,79.245.138/0001-00
15,025731841,162.085.374-44,Maria Sophia Ribeiro,"SPOTTISWOODE RESIDENCES, 15",41 6937-7988,6,79.245.138/0001-00
1,437082611,684.139.705-39,Noah Moura,"HIGHLINE RESIDENCES, 1",61 3079-0687,1,95.201.368/0001-24
2,026571845,398.621.504-24,Gustavo Oliveira,"HIGHLINE RESIDENCES, 2",0300 966 9281,9,95.201.368/0001-24
3,615728042,453.087.692-65,Rebeca Sales,"HIGHLINE RESIDENCES, 3",+55 11 8734 9836,4,95.201.368/0001-24
4,248357062,795.640.318-93,Marcos Vinicius Gomes,"HIGHLINE RESIDENCES, 4",(041) 0681 0878,2,95.201.368/0001-24
5,476583019,904.512.867-58,Isadora Jesus,"HIGHLINE RESIDENCES, 5",+55 61 6367-7220,5,95.201.368/0001-24
6,570612846,931.084.657-75,Maitê Cardoso,"HIGHLINE RESIDENCES, 6",31 2806 0684,7,95.201.368/0001-24
7,862540173,138.695.407-10,Yago Lopes,"HIGHLINE RESIDENCES, 7",(031) 1004 4670,3,95.201.368/0001-24
8,03514628X,645.079.321-06,Arthur Peixoto,"HIGHLINE RESIDENCES, 8",+55 (084) 1462 1943,3,95.201.368/0001-24
9,382714659,697.803.241-78,Maria Julia Cunha,"HIGHLINE RESIDENCES, 9",+55 71 5401 3105,2,95.201.368/0001-24
10,46187250X,495.230.618-60,Murilo Gonçalves,"HIGHLINE RESIDENCES, 10",(021) 9462-0405,8,95.201.368/0001-24
11,62743051X,864.027.915-20,Maria Eduarda Alves,"HIGHLINE RESIDENCES, 11",+55 51 0513 3938,2,95.201.368/0001-24
12,301254679,192.760.354-43,Arthur Moraes,"HIGHLINE RESIDENCES, 12",+55 (084) 7626-9869,4,95.201.368/0001-24
13,513702489,941.837.260-69,Brenda Alves,"HIGHLINE RESIDENCES, 13",81 9360-7485,1,95.201.368/0001-24
14,180523466,145.602.398-51,Thiago Souza,"HIGHLINE RESIDENCES, 14",+55 (084) 0680 8047,10,95.201.368/0001-24
15,403526711,502.693.478-10,Vitor Hugo Mendes,"HIGHLINE RESIDENCES, 15",+55 (071) 4456-1665,3,95.201.368/0001-24
1,761458025,352.687.019-59,Maria Fernanda Aragão,"MARINA BAY RESIDENCES, 1",+55 (084) 2014 4850,6,07.645.839/0001-26
2,731485026,731.845.029-88,Bernardo Nascimento,"MARINA BAY RESIDENCES, 2",(081) 2902-0440,1,07.645.839/0001-26
3,763504129,043.128.965-42,Ana Laura Nunes,"MARINA BAY RESIDENCES, 3",+55 71 1821-3497,3,07.645.839/0001-26
4,365742181,408.126.395-70,Sr. Anthony Aragão,"MARINA BAY RESIDENCES, 4",+55 (031) 3719 8960,8,07.645.839/0001-26
5,638071252,168.930.245-33,Luiz Gustavo Santos,"MARINA BAY RESIDENCES, 5",0300 689 9808,8,07.645.839/0001-26
6,741836506,870.321.456-71,Sr. Matheus Pires,"MARINA BAY RESIDENCES, 6",(084) 3950-9844,5,07.645.839/0001-26
7,65438017X,256.189.340-51,Benício Moura,"MARINA BAY RESIDENCES, 7",(031) 2039 6562,6,07.645.839/0001-26
8,608245732,451.203.987-23,Isaac Farias,"MARINA BAY RESIDENCES, 8",+55 71 0131-8586,5,07.645.839/0001-26
9,043571864,975.021.863-95,Luiz Henrique da Rocha,"MARINA BAY RESIDENCES, 9",0900 025 5699,3,07.645.839/0001-26
10,780625316,268.751.409-85,Isis Jesus,"MARINA BAY RESIDENCES, 10",(084) 7117 9301,4,07.645.839/0001-26
11,08567123X,358.971.460-39,Enzo Rocha,"MARINA BAY RESIDENCES, 11",+55 81 0324 9416,3,07.645.839/0001-26
12,610548323,210.435.798-50,Kamilly Nogueira,"MARINA BAY RESIDENCES, 12",41 5603-2250,10,07.645.839/0001-26
13,057281361,572.803.649-00,Dr. Davi Luiz Azevedo,"MARINA BAY RESIDENCES, 13",+55 71 1654-1429,7,07.645.839/0001-26
14,705146327,042.817.536-80,Marcelo Martins,"MARINA BAY RESIDENCES, 14",(084) 1716-2190,3,07.645.839/0001-26
15,612370483,041.738.692-31,Mirella Campos,"MARINA BAY RESIDENCES, 15",(051) 2233-9760,6,07.645.839/0001-26
1,062584315,749.065.312-61,Srta. Mirella Nunes,"THE PARC CONDOMINIUM, 1",(031) 9051 0710,2,59.140.632/0001-01
2,145820634,798.521.360-03,Luiz Miguel Sales,"THE PARC CONDOMINIUM, 2",0500 744 0553,9,59.140.632/0001-01
3,483250168,912.034.786-31,João Pedro Dias,"THE PARC CONDOMINIUM, 3",+55 (061) 5725 9340,4,59.140.632/0001-01
4,624105386,935.607.412-70,Luna Vieira,"THE PARC CONDOMINIUM, 4",71 9553-1894,2,59.140.632/0001-01
5,627315483,285.934.106-42,Ana Julia da Cruz,"THE PARC CONDOMINIUM, 5",+55 84 4312 5644,5,59.140.632/0001-01
6,653218709,327.650.189-95,Davi Luiz da Rosa,"THE PARC CONDOMINIUM, 6",51 4305 1709,6,59.140.632/0001-01
7,864231076,971.465.302-99,Rafael Rodrigues,"THE PARC CONDOMINIUM, 7",61 1767 7670,2,59.140.632/0001-01
8,368574209,418.052.693-05,Felipe Caldeira,"THE PARC CONDOMINIUM, 8",41 9299-0426,7,59.140.632/0001-01
9,16708432X,563.817.492-37,Lucas Gabriel da Conceição,"THE PARC CONDOMINIUM, 9",+55 (061) 8088 9225,10,59.140.632/0001-01
10,723680140,685.214.079-20,Dr. Cauê Moreira,"THE PARC CONDOMINIUM, 10",31 3436-9230,1,59.140.632/0001-01
11,402178634,759.068.142-30,Stephany Costa,"THE PARC CONDOMINIUM, 11",(081) 5756-4473,8,59.140.632/0001-01
12,061725481,630.418.259-70,Sra. Ana Júlia Cardoso,"THE PARC CONDOMINIUM, 12",+55 (071) 8480 6827,8,59.140.632/0001-01
13,184527065,602.431.875-80,Cecília da Conceição,"THE PARC CONDOMINIUM, 13",31 5482-1142,9,59.140.632/0001-01
14,74250136X,942.630.785-00,Bianca Mendes,"THE PARC CONDOMINIUM, 14",0500-410-1657,2,59.140.632/0001-01
15,685104230,728.031.496-13,Kamilly Castro,"THE PARC CONDOMINIUM, 15",+55 (041) 4741-4321,8,59.140.632/0001-01
1,871264031,120.498.567-76,Maria Mendes,"ALEX RESIDENCES, 1",+55 84 7747 9229,5,50.916.278/0001-81
2,704326516,845.216.970-11,Sra. Valentina Melo,"ALEX RESIDENCES, 2",+55 81 7721 0479,9,50.916.278/0001-81
3,601485725,208.467.519-76,Cauã Costela,"ALEX RESIDENCES, 3",41 8142-5580,6,50.916.278/0001-81
4,145263873,529.316.784-73,João Guilherme Moraes,"ALEX RESIDENCES, 4",11 2137-5084,5,50.916.278/0001-81
5,357468028,945.087.326-74,Pedro Henrique Souza,"ALEX RESIDENCES, 5",+55 21 4200 2922,2,50.916.278/0001-81
6,476120585,728.046.593-56,Nicolas da Mota,"ALEX RESIDENCES, 6",+55 81 6145 9760,9,50.916.278/0001-81
7,761425081,627.319.084-40,Dr. Anthony Nascimento,"ALEX RESIDENCES, 7",61 0159-6810,1,50.916.278/0001-81
8,416870235,890.364.721-13,Pedro Caldeira,"ALEX RESIDENCES, 8",71 8785-2052,10,50.916.278/0001-81
9,642135800,673.210.498-50,Sr. Bernardo Mendes,"ALEX RESIDENCES, 9",+55 11 3141-6127,5,50.916.278/0001-81
10,658432102,410.973.658-75,Maria Fernanda Ramos,"ALEX RESIDENCES, 10",21 0982-6249,4,50.916.278/0001-81
11,502871647,268.415.709-01,Ana Júlia Moraes,"ALEX RESIDENCES, 11",+55 (084) 7620 1538,1,50.916.278/0001-81
12,758206410,647.528.930-29,Dra. Kamilly Vieira,"ALEX RESIDENCES, 12",51 7822 7969,8,50.916.278/0001-81
13,561408324,526.789.103-77,Diogo Barbosa,"ALEX RESIDENCES, 13",(051) 4195 6250,4,50.916.278/0001-81
14,675423181,401.257.638-08,Erick Pereira,"ALEX RESIDENCES, 14",0500 193 2312,8,50.916.278/0001-81
15,380612549,054.183.672-26,Fernanda Ribeiro,"ALEX RESIDENCES, 15",(071) 1015 1007,10,50.916.278/0001-81
1,75348206X,604.538.712-08,Fernanda Vieira,"ONE-NORTH RESIDENCES, 1",51 7837 3567,4,94.061.723/0001-44
2,750632847,601.938.754-20,Francisco Lopes,"ONE-NORTH RESIDENCES, 2",(061) 5342-3825,1,94.061.723/0001-44
3,716038456,185.964.207-11,Ana Julia Melo,"ONE-NORTH RESIDENCES, 3",(071) 3267 8888,8,94.061.723/0001-44
4,651047833,769.532.180-02,Thiago Nunes,"ONE-NORTH RESIDENCES, 4",51 2690 7099,5,94.061.723/0001-44
5,035742811,274.369.501-34,Marina Costela,"ONE-NORTH RESIDENCES, 5",(011) 5604-1913,8,94.061.723/0001-44
6,584271062,802.345.176-62,João Miguel da Conceição,"ONE-NORTH RESIDENCES, 6",(081) 6227 6380,4,94.061.723/0001-44
7,702513465,572.316.408-26,Milena da Rosa,"ONE-NORTH RESIDENCES, 7",+55 (021) 1625-9127,10,94.061.723/0001-44
8,180536746,542.983.106-98,Yago Nascimento,"ONE-NORTH RESIDENCES, 8",(021) 3886 3025,8,94.061.723/0001-44
9,756302419,256.048.379-38,Sabrina Fernandes,"ONE-NORTH RESIDENCES, 9",0800-852-2277,3,94.061.723/0001-44
10,603814256,435.018.627-17,João Pedro da Cruz,"ONE-NORTH RESIDENCES, 10",+55 (071) 7430 3583,1,94.061.723/0001-44
